iter	Passed	Remaining
726	4825	9465
727	4833	9460
728	4838	9451
729	4844	9443
730	4849	9433
731	4855	9425
732	4861	9417
733	4866	9408
734	4872	9399
735	4877	9391
736	4884	9385
737	4890	9376
738	4897	9371
739	4904	9364
740	4910	9357
741	4916	9348
742	4922	9340
743	4929	9334
744	4934	9326
745	4940	9318
746	4946	9309
747	4951	9301
748	4958	9295
749	4965	9288
750	4971	9280
751	4977	9272
752	4983	9264
753	4988	9255
754	4994	9248
755	5000	9240
756	5006	9231
757	5012	9224
758	5016	9213
759	5022	9206
760	5027	9195
761	5033	9188
762	5039	9180
763	5043	9169
764	5048	9159
765	5054	9151
766	5059	9143
767	5066	9136
768	5071	9126
769	5075	9116
770	5081	9108
771	5087	9101
772	5093	9092
773	5098	9083
774	5104	9076
775	5108	9065
776	5114	9057
777	5120	9049
778	5126	9041
779	5132	9033
780	5137	9025
781	5143	9017
782	5148	9008
783	5154	9000
784	5158	8989
785	5164	8982
786	5169	8972
787	5176	8966
788	5182	8958
789	5188	8951
790	5194	8944
791	5201	8937
792	5207	8930
793	5213	8923
794	5217	8913
795	5222	8903
796	5228	8896
797	5234	8888
798	5240	8881
799	5246	8872
800	5252	8866
801	5259	8859
802	5264	8851
803	5272	8846
804	5277	8837
805	5283	8829
806	5289	8821
807	5295	8814
808	5301	8806
809	5306	8797
810	5313	8792
811	5320	8787
812	5329	8783
813	5338	8782
814	5346	8776
815	5354	8773
816	5362	8768
817	5370	8765
818	5377	8759
819	5387	8758
820	5394	8752
821	5401	8746
822	5411	8744
823	5421	8743
824	5428	8737
825	5436	8734
826	5445	8730
827	5451	8723
828	5459	8719
829	5467	8715
830	5476	8711
831	5483	8706
832	5489	8698
833	5500	8698
834	5507	8693
835	5517	8692
836	5525	8688
837	5535	8685
838	5541	8678
839	5549	8674
840	5556	8667
841	5566	8666
842	5574	8662
843	5582	8657
844	5588	8649
845	5594	8642
846	5601	8637
847	5608	8631
848	5615	8624
849	5620	8616
850	5626	8608
851	5631	8599
852	5638	8593
853	5644	8586
854	5650	8578
855	5656	8570
856	5663	8564
857	5669	8556
858	5675	8548
859	5681	8541
860	5687	8534
861	5694	8528
862	5700	8520
863	5707	8514
864	5713	8507
865	5720	8501
866	5726	8493
867	5731	8485
868	5737	8477
869	5743	8469
870	5749	8462
871	5754	8453
872	5758	8443
873	5765	8437
874	5772	8430
875	5778	8424
876	5784	8416
877	5791	8409
878	5797	8403
879	5804	8396
880	5810	8389
881	5815	8380
882	5821	8372
883	5826	8364
884	5833	8358
885	5840	8351
886	5846	8344
887	5852	8336
888	5858	8329
889	5864	8321
890	5869	8313
891	5875	8305
892	5881	8298
893	5887	8290
894	5893	8283
895	5900	8277
896	5906	8269
897	5913	8263
898	5918	8256
899	5924	8248
900	5930	8241
901	5937	8234
902	5942	8226
903	5948	8219
904	5955	8212
905	5960	8203
906	5966	8196
907	5972	8189
908	5979	8182
909	5984	8174
910	5990	8166
911	5996	8159
912	6002	8152
913	6008	8145
914	6014	8137
915	6020	8129
916	6025	8122
917	6032	8115
918	6040	8110
919	6045	8102
920	6051	8095
921	6057	8087
922	6062	8079
923	6068	8071
924	6074	8064
925	6085	8063
926	6092	8056
927	6098	8050
928	6107	8046
929	6113	8039
930	6123	8037
931	6132	8034
932	6138	8027
933	6144	8019
934	6150	8011
935	6156	8004
936	6162	7996
937	6167	7988
938	6174	7982
939	6179	7974
940	6185	7966
941	6191	7959
942	6196	7951
943	6203	7944
944	6208	7936
945	6214	7929
946	6221	7922
947	6226	7914
948	6233	7907
949	6238	7899
950	6246	7894
951	6252	7887
952	6259	7881
953	6264	7873
954	6271	7866
955	6277	7859
956	6283	7852
957	6289	7845
958	6295	7837
959	6301	7830
960	6307	7823
961	6313	7816
962	6319	7808
963	6326	7803
964	6336	7800
965	6348	7800
966	6360	7800
967	6370	7798
968	6383	7799
969	6388	7791
970	6395	7785
971	6401	7777
972	6407	7770
973	6413	7763
974	6419	7755
975	6426	7749
976	6432	7742
977	6438	7735
978	6444	7727
979	6451	7721
980	6457	7714
981	6464	7708
982	6469	7700
983	6475	7693
984	6481	7685
985	6487	7678
986	6494	7672
987	6500	7664
988	6505	7657
989	6512	7650
990	6517	7642
991	6523	7635
992	6529	7627
993	6536	7621
994	6543	7615
995	6548	7607
996	6554	7599
997	6560	7592
998	6565	7584
999	6572	7578
1000	6578	7570
1001	6584	7564
1002	6590	7556
1003	6595	7548
1004	6601	7540
1005	6607	7533
1006	6614	7527
1007	6619	7519
1008	6625	7511
1009	6631	7504
1010	6637	7497
1011	6643	7490
1012	6649	7483
1013	6656	7476
1014	6662	7469
1015	6668	7462
1016	6673	7454
1017	6679	7446
1018	6685	7439
1019	6691	7432
1020	6699	7427
1021	6705	7420
1022	6711	7413
1023	6716	7405
1024	6723	7399
1025	6728	7391
1026	6734	7384
1027	6741	7377
1028	6747	7369
1029	6752	7362
1030	6758	7355
1031	6765	7349
1032	6772	7342
1033	6778	7335
1034	6784	7328
1035	6790	7321
1036	6797	7315
1037	6803	7307
1038	6809	7301
1039	6815	7294
1040	6821	7286
1041	6827	7280
1042	6834	7273
1043	6840	7266
1044	6847	7259
1045	6852	7252
1046	6858	7245
1047	6863	7237
1048	6870	7230
1049	6876	7224
1050	6883	7217
1051	6889	7210
1052	6896	7203
1053	6901	7196
1054	6908	7189
1055	6914	7183
1056	6920	7175
1057	6926	7169
1058	6932	7162
1059	6938	7154
1060	6944	7147
1061	6950	7139
1062	6956	7132
1063	6961	7125
1064	6968	7119
1065	6974	7111
1066	6980	7104
1067	6986	7097
1068	6993	7091
1069	6998	7083
1070	7003	7075
1071	7010	7068
1072	7016	7061
1073	7021	7054
1074	7027	7047
1075	7033	7039
1076	7039	7032
1077	7044	7025
1078	7050	7017
1079	7056	7010
1080	7062	7003
1081	7068	6997
1082	7075	6990
1083	7081	6983
1084	7087	6976
1085	7093	6968
1086	7099	6962
1087	7105	6955
1088	7111	6948
1089	7117	6941
1090	7125	6935
1091	7131	6928
1092	7137	6922
1093	7144	6916
1094	7150	6908
1095	7158	6903
1096	7165	6897
1097	7172	6891
1098	7178	6884
1099	7185	6878
1100	7191	6871
1101	7197	6864
1102	7203	6856
1103	7209	6850
1104	7224	6851
1105	7238	6852
1106	7253	6853
1107	7265	6852
1108	7278	6852
1109	7289	6849
1110	7299	6846
1111	7309	6842
1112	7319	6839
1113	7332	6839
1114	7343	6836
1115	7354	6833
1116	7368	6834
1117	7381	6833
1118	7395	6833
1119	7403	6828
1120	7413	6824
1121	7421	6819
1122	7430	6815
1123	7438	6809
1124	7444	6802
1125	7455	6799
1126	7465	6796
1127	7473	6790
1128	7484	6788
1129	7498	6788
1130	7505	6782
1131	7512	6775
1132	7518	6768
1133	7528	6765
1134	7534	6757
1135	7540	6750
1136	7545	6742
1137	7556	6739
1138	7562	6732
1139	7568	6725
1140	7575	6718
1141	7580	6711
1142	7587	6704
1143	7592	6696
1144	7597	6688
1145	7603	6681
1146	7608	6673
1147	7614	6666
1148	7620	6658
1149	7626	6651
1150	7632	6644
1151	7638	6637
1152	7644	6630
1153	7651	6623
1154	7657	6616
1155	7662	6608
1156	7669	6602
1157	7675	6594
1158	7681	6587
1159	7685	6579
1160	7691	6572
1161	7698	6565
1162	7704	6558
1163	7711	6551
1164	7717	6544
1165	7723	6537
1166	7729	6530
1167	7735	6523
1168	7741	6516
1169	7746	6508
1170	7753	6502
1171	7759	6495
1172	7765	6488
1173	7772	6481
1174	7778	6474
1175	7785	6468
1176	7793	6462
1177	7799	6455
1178	7805	6448
1179	7812	6441
1180	7818	6434
1181	7824	6427
1182	7831	6421
1183	7836	6413
1184	7842	6406
1185	7848	6398
1186	7854	6392
1187	7861	6385
1188	7866	6378
1189	7872	6370
1190	7879	6364
1191	7885	6357
1192	7891	6350
1193	7897	6343
1194	7902	6335
1195	7908	6328
1196	7915	6321
1197	7921	6314
1198	7927	6307
1199	7932	6299
1200	7938	6292
1201	7944	6285
1202	7950	6278
1203	7955	6270
1204	7961	6263
1205	7967	6256
1206	7973	6249
1207	7979	6242
1208	7984	6234
1209	7992	6228
1210	7998	6221
1211	8004	6214
1212	8011	6208
1213	8016	6200
1214	8023	6194
1215	8028	6186
1216	8035	6180
1217	8042	6173
1218	8048	6167
1219	8054	6160
1220	8061	6153
1221	8066	6145
1222	8073	6139
1223	8079	6132
1224	8085	6125
1225	8092	6119
1226	8099	6112
1227	8105	6105
1228	8111	6098
1229	8118	6092
1230	8124	6085
1231	8131	6078
1232	8137	6071
1233	8143	6064
1234	8149	6057
1235	8155	6050
1236	8162	6044
1237	8168	6037
1238	8174	6030
1239	8179	6022
1240	8186	6016
1241	8192	6009
1242	8198	6002
1243	8205	5995
1244	8211	5989
1245	8217	5981
1246	8224	5975
1247	8230	5968
1248	8236	5961
1249	8244	5955
1250	8251	5949
1251	8258	5943
1252	8264	5936
1253	8270	5929
1254	8277	5922
1255	8283	5915
1256	8289	5908
1257	8296	5902
1258	8300	5894
1259	8307	5887
1260	8313	5880
1261	8320	5874
1262	8325	5866
1263	8331	5859
1264	8337	5852
